,UT,0,1,2
75,2-S2.0-85086710501,0.7482023354117916,0.1516814321140463,0.10011623247416211
76,2-S2.0-33845455567,0.9185250754306495,0.04590292328081772,0.035572001288532655
77,2-S2.0-85034629043,1.0,2.423336438570177e-309,2.08849048181255e-309
78,2-S2.0-84952334004,1.0,2.539104057447114e-309,2.127287546063818e-309
79,2-S2.0-84997523842,1.0,2.593928773004716e-309,2.092833268020377e-309
80,2-S2.0-85009775271,1.0,2.526710617775193e-309,2.11584476557959e-309
81,2-S2.0-84922328254,0.9574284249583257,0.02340379342024437,0.01916778162143003
82,2-S2.0-85087039358,0.9147765161728298,0.04624237627676804,0.038981107550402225
83,2-S2.0-84991729059,0.5655941197465978,0.11392047053648079,0.11503298473046886
84,2-S2.0-85037611068,1.0,2.624411234486553e-309,2.36032090298242e-309
85,2-S2.0-84877770402,0.8341565062054623,0.08454670089351903,0.08129679290101852
86,2-S2.0-84973577138,0.9329292718960862,0.03587791028657838,0.03119281781733539
87,2-S2.0-85012889292,1.0,2.5015664419646e-309,2.135285738762e-309
88,2-S2.0-85058498706,0.870756265214371,0.06827904631344203,0.06096468847218689
89,2-S2.0-84890556192,0.5000939952683487,0.11299588715178623,0.11788675525618841
90,2-S2.0-79951951632,0.844469039852984,0.0794197439479558,0.07611121619906017
91,2-S2.0-85014817393,1.0,2.48695641677094e-309,2.0942484193672e-309
92,2-S2.0-85007533498,0.7450851637660013,0.15530711963254368,0.09899454463831545
93,2-S2.0-84959512621,1.0,2.61655290626179e-309,2.26712734963046e-309
94,2-S2.0-84941173664,0.1315633714369217,0.11466041152321887,0.359589369650743
95,2-S2.0-85009250903,0.9881903255278526,0.0064934287039626285,0.005316245768184789
96,2-S2.0-33845384389,0.9136746270446305,0.04710502722885821,0.03922034572651122
97,2-S2.0-14944344131,0.04299109748299031,0.033001518454667166,0.9240073840623426
98,2-S2.0-85031327363,1.0,2.435064480793343e-309,2.06717788531093e-309
99,2-S2.0-0043133380,0.11979623250104514,0.11271653307741834,0.40990411145221417
100,2-S2.0-85073166267,1.0,2.51683825527052e-309,2.132215661464047e-309
101,2-S2.0-50649125571,0.13165949609232586,0.11540183246640329,0.3535040067694423
102,2-S2.0-85027531497,0.9793240796621434,0.011381103259369273,0.009294817078487293
103,2-S2.0-85074041562,0.7365778032056084,0.1558570225485918,0.09910409651409
104,2-S2.0-84932108161,0.9158968362286419,0.04560580145931634,0.038497362312041726
105,2-S2.0-85028057985,0.9535759268280911,0.02538030450122043,0.021043768670688457
106,2-S2.0-84949603790,0.8638505293720377,0.07194177588237195,0.0642076947455904
107,2-S2.0-85074164709,0.9684864291825479,0.017293405700876258,0.014220165116575844
108,2-S2.0-85029744316,0.7498066390733261,0.12304663343267293,0.1180496975007937
109,2-S2.0-84934324985,0.7117790647600774,0.11620249963264485,0.11335441188769821
110,2-S2.0-33746875258,0.04219505083498189,0.7158313458586021,0.041524956461968215
111,2-S2.0-85085269135,0.1606589523993701,0.09611754378319193,0.232195597532148
112,2-S2.0-85042453451,1.0,2.46447654887497e-309,2.116163497497197e-309
113,2-S2.0-84865185513,0.7080045390796089,0.11746528453137518,0.11412807998376007
114,2-S2.0-84949257436,0.14147982522207514,0.2577820155875902,0.09136570458535825
115,2-S2.0-85021052045,0.8529835293388358,0.08354602702455166,0.0634704436366125
116,2-S2.0-33845408457,1.0,2.65567020296727e-309,2.29902831947167e-309
117,2-S2.0-85052190534,0.9604452922298835,0.022074577769433213,0.017480130000683262
118,2-S2.0-85049772033,0.6634297109699115,0.11596115058681195,0.11397680169502844
119,2-S2.0-85048473600,0.9070734884508548,0.05019200063234726,0.04273451091679807
120,2-S2.0-84859611188,1.0,2.704362291951596e-309,2.36169180732722e-309
121,2-S2.0-85030849290,0.7272514395118391,0.149287897956693,0.12346066253146777
122,2-S2.0-85097157390,0.8402245574140307,0.08646430711405478,0.07331113547191455
123,2-S2.0-85046157053,1.0,2.46227881428783e-309,2.11958673204765e-309
124,2-S2.0-34748857370,0.1303799859908463,0.11575368410419606,0.37861599880067326
125,2-S2.0-85059557069,0.9355218301834288,0.03609565420046247,0.02838251561610863
126,2-S2.0-84883052398,0.8934241570834879,0.06086245763122505,0.04571338528528704
127,2-S2.0-85011655331,1.0,2.511447006138794e-309,2.12876483008136e-309
128,2-S2.0-84878582284,0.8995487575976632,0.05507948994579622,0.045371752456540695
129,2-S2.0-79960660691,0.8669834115360149,0.07578791931977384,0.05722866914421123
130,2-S2.0-85059839966,0.7197378227329359,0.12390330793475637,0.1140384587892247
131,2-S2.0-84866892511,0.8832013745910547,0.06364285649093561,0.053155768918009584
132,2-S2.0-84924228276,0.8392132244635748,0.0943350435248196,0.06645173201160563
133,2-S2.0-84925310823,0.9469853447260712,0.027802134170144228,0.02521252110378454
134,2-S2.0-85017338660,0.9000904189264927,0.05516244530097795,0.044747135772529326
135,2-S2.0-0002962944,0.09315215288856075,0.078234792037082,0.7150782757084949
136,2-S2.0-85056246339,0.7515799738075347,0.14971896131111226,0.09870106488135313
137,2-S2.0-85050458384,0.13214864355762443,0.11526434606535298,0.372286553799386
138,2-S2.0-84899053698,0.8697355244674436,0.0688461592718823,0.06141831626067408
139,2-S2.0-85077155854,1.0,2.90825108931128e-309,2.398272398047874e-309
140,2-S2.0-85047840764,0.9327686279425702,0.036488742061942296,0.030742629995487544
